,Item,Food_Contains,Food_Category,Classification,FoodID
23,margarine,,margarine,spreads,J1007/J1023/J1022/J1009/J1004/J1001/J1006/J1008/J1020/J1011/J1002/J1012/J1010/J1029/J1005/J1021/J1003/J16/J1028
24,coffee,,coffee,,C1056/C1080/C1055/C1050/C1066/C1071/C1072/C1061/C1051/C1060/C1042/C1068/C1081/C1085/C1083/C7/C1048/C1069/C1059/C1086/C1082/C1089/C1075/C1088/C1058/C1067/C1092/C1044/C1046/C1062/C1084/C1090/C1076/C1057/C77/C1091/C1077/C1045/C1063/C1047/C1053/C1049/C1070/C1087/C1043/C1079/P68/C1078/C1073/C1052/C1064
25,lettuces,frozen,Pea/Sweet corn/Mixed vegetables/Cauliflower/Broccoli/Bean/Carrot/Capsicum/Spinach/kale,,X1250/X1228/X1229/X1160/X6/X1240/X1247/X1248/X1202/X1242/X1239/X1244/X1238/X1199/X1235/X8/X1223/X30/X1219/X1197/X1200/X1135/X1230/X1134/X1159/X1222/X1226/X1221/X1231/X1216/X1220/X1201/X1246/X1217/X1241/X1225/X1243/X1224/X1251/X1218/X1234/X1227/X1198
26,chicken,,chicken,,M343/M1153/M1029/M67/M1013/M66/M1015/H1016/M60/N58/M264/M346/M1011/M59/N55/M335/M1016/M394/M392/M334/M68/M71/M360/M342/M58/M247/M355/M65/N52/N76/M62/M61/M345/M348/H14/M349/N51/H17/N47/H18/M359/N57/H16/M1152/M232/M351/H15/M57/M63/N48/M255/M344/M336/M358/N77/M337/M354/N49/M1030/M353/M393/M340/N53/M338/H12/H159/M246/M347/M352/M70/M341/N54/M356/M64/N50/N56/H78/M362/M361/M357/H147/M1012/M244/H13/M350/H19/M239/M339/M69
27,white bread,white,bread,bread,A1146/A1141/A20/A151/A21/A166/A1007/A1138/A1124/A1097/A1125/A18/A1139/A167/A19/A168/A1014/A1147/A169/A1098/A1140
28,cream cheese,Colby/Cheddar/cream/blue vein/Swiss,cheese,spreads,F69/F1007/F1009/F1006/F1015/F1010/F1014/F91/F1008/F1011/F12/F4/F1012/F1057/F1013
29,chocolate,,chocolate,sugar,W58/W68/W1014/W7/W54/W1009/W51/W1005/W1015/W60/W59/W1012/W4/W1013/W3/W1010/W61/W1006/W5/W6/W55/W1011/W56
30,dessert,,dessert,sugar,F76/F115/F1080
31,berries,,Strawberry/Cranberry/Boysenberry/Blueberry/Raspberry,,L1051/L171/L165/L1050/L1054/L1016/L163/L166/L164/L39/L1023/L1046/L1055/L1045/L48/L162/L40
32,hamburger meat,burger,Patty,,N1053/N1055/N1054/N1052
33,UHT-milk,UHT/ultra-high-temperature,milk,dairy,F42/F45/F44/F1097/F102/F43/F103
34,onions,,onion,,X1237/X64/X146/X1236/X1133/X1132/X1131/X63/X65/X1130
35,salty snack,,snack,,U61/U1024/U1004/U1016/U1023/U36/U57/U15/U1009/U1015/U1008/U1012/U18/U47/U1017/U1014/U1013
36,waffles,,cake,,R5435/A28/A27/R5746/R5747/A1152/A1136/R19/A1153/R22/R5418/R5743/A1154/H151/R15/A1148/R21/A24
37,sugar,,sugar,sugar,W23/W24/W19/W22/W20/W21/W32
38,butter milk,,milk,dairy,F53/F1037/F1032/F1028/F1084/F1031/F52/F1027/F1029/F1042/F1102/F1016/F1104/F43/F1036/F1038/F1044/H156/F1086/F54/F1018/F1043/F1085/F1068/F1025/F1017/F37/F103/F31/F1103/F1020/F1041/F1034/F1023/F32/F1105/F36/F1035/F1045/F1101/F42/F48/F1030/F44/F1097/F102/F1026/F35/F1040/F51/F1021/F1033/F47/F46/F1058/F1039/F49/F30/F1096/F45/F1022/F1087/F1024/F1100/F1019
39,ham,,ham,,N8/N65/N66
40,meat,,meat,,T32/H69/Q44/N1010
41,frozen meals,,frozen meal,,N79/N1005/N1002/N81/E128/E127/N1007/N1004/N1006/N1003/N1008/N82/N80/N1001/E129/N78
42,specialty chocolate,,chocolate,sugar,W58/W68/W1014/W7/W54/W1009/W51/W1005/W1015/W60/W59/W1012/W4/W1013/W3/W1010/W61/W1006/W5/W6/W55/W1011/W56
43,misc. beverages,,beverage,drink,C1026/C1056/C1080/C1055/C1050/C1066/C1071/C1072/C1061/C1051/C1060/C1068/C1081/C1085/C1083/C1048/C1041/C1069/C1059/C1097/C1086/C78/C1082/C1089/C1075/C1088/C1058/C1067/C1092/C1046/C1062/C1084/C1090/C1095/C82/C24/C1076/C1057/C1091/C1077/C1045/C1063/C1047/C76/C1053/C1039/C1049/C1070/C1040/C1094/C1087/C1079/C1078/C1073/C1096/C1052/C1064
44,ice cream,,ice cream,sugar,F60/F1095/F1070/F89/F88/H56/F110/F118/F119/H55/F27/H54/F114/F122/F112/F111/F29/F75/F113/F87/F28/F78
45,oil,,oil,,J14/J12/J1034/J1039/J30/J1037/J31/J60/J1033/J5/J1035/J29/J61/J21/J3/J1036/J28/J11/J32/J4/J10/J9
46,grapes,,grape/Grapefruit,,L80/L1018/L82/L79/L81/L83
47,hard cheese,Gruyere/Swiss/edam,cheese,spreads,F1005/F1002/F1003/F1004/F91/F85/F1001
48,candy,,candy,sugar,W48/W36
49,sliced cheese,sliced,cheese,spreads,F79
50,chewing gum,,chewing gum,,P71
51,cat food,cat,food,,
52,white wine,white,wine,,B1022/B1023/B1019/B1024/B1020/B1021
53,herbs,,herbs,,
54,red/blush wine,red/blush,wine,,B1025/B1028/B1027/B1026
55,soft cheese,soft,cheese,,F1088/F1091/F1089/F1090
56,processed cheese,processed,cheese,,F19/F79
57,flour,,flour,,E17/E46/E94/E1081/E66/E1082/E9/E95/E67/E1087/E1083/E110/E1084/E16/E91/E53/E11/E45/E1086/E98/E14/E89/E47/E1085/E7/E88/E96/E12/E10/E92/E108/E109/E97/E93
58,semi-finished bread,semi-finished,bread,,
59,dishes,,dishes,,
60,pickled vegetables,pickled,vegetables,,
61,packaged fruit/vegetables,packaged,fruit/vegetables,,
62,baking powder,baking,powder,,
63,pasta,,pasta,,E1063/E1072/E1073/E118/E119/E57/E56/E1060/E63/E1065/E59/E60/E116/E1066/E55/E1061/E115/E1064
64,canned fish,canned,fish,,
65,seasonal products,seasonal,products,,
66,liquor,,liquor,,W43/W29
67,frozen fish,frozen,fish,,H193/H195/H194
68,spread cheese,spread,cheese,,F20
69,condensed milk,condensed,milk,,F31/F30
70,cake bar,cake,bar,,
71,mustard,,mustard,,X61/S33
72,frozen dessert,frozen,dessert,,F76
73,salt,,salt,,P81/P10/P9
74,roll products ,roll,products,,
75,canned vegetables,canned,vegetables,,
76,turkey,,turkey,,M182/M368/M376/M179/M378/M391/M380/M375/M176/M366/M367/M177/M363/M385/M390/M377/M395/M373/M379/M364/M178/M387/M372/M384/M371/M180/M386/M374/M370/M181/M369/M389/M388/M383/M183/M381/M382/M365
77,mayonnaise,,mayonnaise,,
78,frozen potato products,frozen potato,products,,
79,specialty cheese,specialty,cheese,,
80,flower (seeds),flower,(seeds),,
81,sweet spreads,sweet,spreads,,
82,liquor (appetizer),liquor,(appetizer),,
83,candles,,candles,,
84,finished products,finished,products,,
85,instant coffee,instant,coffee,,C1050/C1051/C1044/C1042/C1043/C1052/C1053/C1048/C1049
86,chocolate marshmallow,chocolate,marshmallow,,
87,Instant food products,Instant food,products,,
88,zwieback,,zwieback,,
89,vinegar,,vinegar,,P59/P11
90,liver loaf,liver,loaf,,
91,rice,,rice,,E134/E61/U59/E1077/E1016/H1018/W43/E1078/E1079/E1046/E1080/E1014/W29/E1069/E133
92,soups,,soups,,
93,popcorn,,popcorn,,U40
94,curd cheese,curd,cheese,,
95,sparkling wine,sparkling,wine,,B1023
96,sauces,,sauces,,
97,cereals,,cereals,,D1037/D1041/D1042
98,softener,,softener,,
99,spices,,spices,,
100,brandy,,brandy,,
101,male cosmetics,male,cosmetics,,
102,meat spreads,meat,spreads,,
103,jam,,jam,,W74/W15/W14/W73
104,nuts/prunes,,nuts/prunes,,
105,dental care,dental,care,,
106,rum,,rum,,A1120/A1119
107,ketchup,,ketchup,,
108,kitchen towels,kitchen,towels,,
109,fish,,fish,,H193/H60/H195/K114/K33/K146/K143/K113/H63/K156/H57/H59/H58/K140/H23/K164/K178/H62/K121/K141/K15/H194/K132/H61/H64/K3/K154/K24/K117/H22/H65
110,specialty fat,specialty,fat,,
111,artif. sweetener,artif.,sweetener,,
112,snack products,snack,products,,
113,tea,,tea,,C76/C1039/C82/C24/N20/C1041/C78/C1040
114,potato products,potato,products,,
115,organic sausage,organic,sausage,,
116,tidbits,,tidbits,,
117,nut snack,nut,snack,,
118,abrasive cleaner,abrasive,cleaner,,
119,canned fruit,canned,fruit,,L1146/L1144/L1149/L1148/L79/L1145/L1143/L1142/L1147
120,syrup,,syrup,,S39/H166/C22/W25/H168/C6/H165/H157/W69/H167
121,skin care,skin,care,,
122,prosecco,,prosecco,,
123,cookware,,cookware,,
124,pudding powder,pudding,powder,,
125,bathroom cleaner,bathroom,cleaner,,
126,flower soil/fertilizer,flower,soil/fertilizer,,
127,cocoa drinks,cocoa,drinks,,
128,ready soups,ready,soups,,
129,cooking chocolate,cooking,chocolate,,
130,honey,,honey,,W12/W1018/W1019
131,cream,,cream,,F60/F1095/F99/F22/F24/F1070/F25/F89/F88/H56/F110/F100/F118/Q34/F119/H55/F27/F23/H54/F114/F122/F112/Q35/F111/F101/F29/F75/F113/F87/F28/F78
132,specialty vegetables,specialty,vegetables,,
133,frozen fruits,frozen,fruits,,
134,organic products,organic,products,,
135,liqueur,,liqueur,,B1003/B15/B16/B39
136,whisky,,whisky,,
137,salad dressing,salad,dressing,,S30/S57/S55/S48/S49/S51
138,toilet cleaner,toilet,cleaner,,
139,make up remover,make up,remover,,
140,frozen chicken,frozen,chicken,,
141,rubbing alcohol,rubbing,alcohol,,
142,bags,,bags,,
143,baby cosmetics,baby,cosmetics,,
144,kitchen utensil,kitchen,utensil,,
145,preservation products,preservation,products,,
